name,stars
nolimits4web/swiper,41507
zhongyang219/TrafficMonitor,41462
nwjs/nw.js,41396
hpcaitech/ColossalAI,41206
dcloudio/uni-app,41186
bailicangdu/vue2-elm,41172
zai-org/ChatGLM-6B,41145
cli/cli,41141
psf/black,41081
gedoor/legado,41063
styled-components/styled-components,40968
mitmproxy/mitmproxy,40948
hexojs/hexo,40942
penpot/penpot,40893
slidevjs/slidev,40807
vuetifyjs/vuetify,40771
bannedbook/fanqiang,40738
upscayl/upscayl,40713
helix-editor/helix,40627
fastlane/fastlane,40603
dylanaraps/pure-bash-bible,40559
lukasz-madon/awesome-remote-job,40534
deepspeedai/DeepSpeed,40494
colinhacks/zod,40456
chubin/cheat.sh,40350
gradio-app/gradio,40309
tabler/tabler,40237
anthropics/claude-code,40220
sharkdp/fd,40206
LC044/WeChatMsg,40080
bradtraversy/50projects50days,39961
files-community/Files,39894
chakra-ui/chakra-ui,39869
byoungd/English-level-up-tips,39774
jgm/pandoc,39766
QSCTech/zju-icicles,39671
wg/wrk,39647
curl/curl,39641
crewAIInc/crewAI,39606
google-research/bert,39596
php/php-src,39553
makeplane/plane,39527
zhayujie/chatgpt-on-wechat,39484
ray-project/ray,39482
DIYgod/RSSHub,39452
ccxt/ccxt,39413
remoteintech/remote-jobs,39395
evanw/esbuild,39383
tmux/tmux,39358
floodsung/Deep-Learning-Papers-Reading-Roadmap,39345
cloudcommunity/Free-Certifications,39254
pingcap/tidb,39210
videojs/video.js,39199
lm-sys/FastChat,39183
vim/vim,39156
Dogfalo/materialize,39129
saadeghi/daisyui,39125
hiroi-sora/Umi-OCR,39075
logseq/logseq,39062
go-gorm/gorm,39027
aria2/aria2,39023
trpc/trpc,38749
suno-ai/bark,38632
photoprism/photoprism,38625
siyuan-note/siyuan,38623
google/styleguide,38621
fastapi/full-stack-fastapi-template,38552
QuivrHQ/quivr,38543
calcom/cal.com,38538
phaserjs/phaser,38533
freefq/free,38404
impress/impress.js,38378
payloadcms/payload,38347
DataExpert-io/data-engineer-handbook,38341
menloresearch/jan,38326
karanpratapsingh/system-design,38324
koalaman/shellcheck,38316
juspay/hyperswitch,38273
google/leveldb,38263
goabstract/Awesome-Design-Tools,38257
appsmithorg/appsmith,38256
gofiber/fiber,38229
NanmiCoder/MediaCrawler,38219
PhilJay/MPAndroidChart,38134
preactjs/preact,38100
milvus-io/milvus,38075
Aider-AI/aider,38069
novuhq/novu,38044
2noise/ChatTTS,38023
usebruno/bruno,37987
gto76/python-cheatsheet,37882
zbezj/HEU_KMS_Activator,37704
freeCodeCamp/devdocs,37679
Zie619/n8n-workflows,37667
facebookresearch/faiss,37622
ant-design/ant-design-pro,37588
istio/istio,37553
FreeCodeCampChina/freecodecamp.cn,37537
lapce/lapce,37484
LAION-AI/Open-Assistant,37482
Kong/insomnia,37410
naptha/tesseract.js,37398
ghostty-org/ghostty,37359
google/googletest,37352
denysdovhan/wtfjs,37348
dotnet/aspnetcore,37305
eugenp/tutorials,37287
zen-browser/desktop,37282
TencentARC/GFPGAN,37168
halo-dev/halo,37145
chatboxai/chatbox,37032
huihut/interview,37029
NervJS/taro,37029
0voice/interview_internal_reference,37025
inkonchain/docs,36982
nushell/nushell,36954
imputnet/cobalt,36950
inkonchain/node,36944
HeyPuter/puter,36905
vlang/v,36902
httpie/cli,36859
inkonchain/ink-kit,36852
exacity/deeplearningbook-chinese,36838
alibaba/arthas,36794
ToolJet/ToolJet,36793
rapid7/metasploit-framework,36785
satwikkansal/wtfpython,36751
openai/gym,36713
babysor/MockingBird,36710
AobingJava/JavaFamily,36684
google-research/google-research,36595
yeongpin/cursor-free-vip,36568
mindsdb/mindsdb,36525
open-guides/og-aws,36413
twentyhq/twenty,36353
docker/compose,36351
chatchat-space/Langchain-Chatchat,36333
shadowsocks/shadowsocks-android,36325
date-fns/date-fns,36218
kilimchoi/engineering-blogs,36091
opentofu/manifesto,36037
lerna/lerna,36036
mudler/LocalAI,36002
charmbracelet/bubbletea,35993
SheetJS/sheetjs,35991
XingangPan/DragGAN,35986
formulahendry/955.WLB,35972
PKUanonym/REKCARC-TSC-UHT,35929
markedjs/marked,35923
typeorm/typeorm,35921
geekxh/hello-algorithm,35838
pola-rs/polars,35827
hankcs/HanLP,35772
carbon-app/carbon,35764
roboflow/supervision,35677
koajs/koa,35671
alebcay/awesome-shell,35619
sqlmapproject/sqlmap,35587
outline/outline,35566
huggingface/pytorch-image-models,35551
airbnb/lottie-android,35502
spacedriveapp/spacedrive,35489
alvarotrigo/fullPage.js,35481
fengdu78/Coursera-ML-AndrewNg-Notes,35476
jondot/awesome-react-native,35442
TeamNewPipe/NewPipe,35433
RSSNext/Folo,35329
junegunn/vim-plug,35323
nativefier/nativefier,35317
karpathy/LLM101n,35261
ManimCommunity/manim,35208
myshell-ai/OpenVoice,35148
sahat/hackathon-starter,35131
reworkd/AgentGPT,35118
doocs/leetcode,35093
unknwon/the-way-to-go_ZH_CN,35062
llvm/llvm-project,35049
huiyadanli/RevokeMsgPatcher,34976
bumptech/glide,34974
portainer/portainer,34897
upstash/context7,34890
fastify/fastify,34864
PatrickJS/awesome-cursorrules,34819
jaywcjlove/linux-command,34701
BVLC/caffe,34700
sorrycc/awesome-javascript,34668
CherryHQ/cherry-studio,34608
agno-agi/agno,34565
netty/netty,34526
fxsjy/jieba,34480
geekan/HowToLiveLonger,34470
solidjs/solid,34456
exelban/stats,34367
nodejs/node-v0.x-archive,34366
chenfei-wu/TaskMatrix,34360
typicode/husky,34331
jaredpalmer/formik,34326
anoma/anoma,34300
xitu/gold-miner,34273
veggiemonk/awesome-docker,34251
mattermost/mattermost,34239
aseprite/aseprite,34213
geekcomputers/Python,34206
deepseek-ai/awesome-deepseek-integration,34204
laravel/framework,34202
zenorocha/clipboard.js,34179
ShareX/ShareX,34168
testerSunshine/12306,34119
mifi/lossless-cut,34098
atlassian/react-beautiful-dnd,34054
zsh-users/zsh-autosuggestions,34045
drawdb-io/drawdb,33998
danielmiessler/Fabric,33991
python-poetry/poetry,33984
xkcoding/spring-boot-demo,33961
TheAlgorithms/JavaScript,33842
jax-ml/jax,33792
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,33766
YunaiV/ruoyi-vue-pro,33725
halfrost/LeetCode-Go,33720
duckdb/duckdb,33680
alibaba/easyexcel,33679
AFNetworking/AFNetworking,33667
Blankj/AndroidUtilCode,33661
zxing/zxing,33646
shadowsocks/shadowsocks,33643
CorentinTh/it-tools,33631
qbittorrent/qBittorrent,33602
facebookresearch/detectron2,33552
ehang-io/nps,33543
Pythagora-io/gpt-pilot,33527
harness/harness,33520
SeleniumHQ/selenium,33515
AmruthPillai/Reactive-Resume,33464
carbon-language/carbon-lang,33402
hashicorp/vault,33344
XX-net/XX-Net,33342
CMU-Perceptual-Computing-Lab/openpose,33333
paperless-ngx/paperless-ngx,33320
qishibo/AnotherRedisDesktopManager,33302
xyflow/xyflow,33294
pbatard/rufus,33286
alan2207/bulletproof-react,33276
TheAlgorithms/C-Plus-Plus,33203
lllyasviel/ControlNet,33202
DataTalksClub/data-engineering-zoomcamp,33197
ueberdosis/tiptap,33180
adobe/brackets,33136
chatanywhere/GPT_API_free,33131
nextcloud/server,33108
immutable-js/immutable-js,33081
directus/directus,33074
refinedev/refine,33074
servo/servo,33051
vnpy/vnpy,33051
gulpjs/gulp,33050
bilibili/ijkplayer,33022
pnpm/pnpm,32992
lib-pku/libpku,32974
bayandin/awesome-awesomeness,32951
xinntao/Real-ESRGAN,32936
gchq/CyberChef,32903
9001/copyparty,32871
jqlang/jq,32858
swc-project/swc,32844
shadowsocks/ShadowsocksX-NG,32843
explosion/spaCy,32697
pcottle/learnGitBranching,32647
mouredev/Hello-Python,32604
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,32588
microsoft/qlib,32569
certbot/certbot,32547
ibraheemdev/modern-unix,32523
mckaywrigley/chatbot-ui,32522
SerenityOS/serenity,32491
vadimdemedes/ink,32426
mpv-player/mpv,32416
balena-io/etcher,32396
TriliumNext/Trilium,32361
v2fly/v2ray-core,32319
beego/beego,32307
TabbyML/tabby,32299
google/material-design-lite,32247
alibaba/nacos,32188
google/comprehensive-rust,32182
lizongying/my-tv,32173
IceWhaleTech/CasaOS,32162
The-Run-Philosophy-Organization/run,32135
exo-explore/exo,32093
binarywang/WxJava,32064
GorvGoyl/Clone-Wars,32056
yewstack/yew,32051
vercel/swr,32034
karpathy/nanochat,32028
ziadoz/awesome-php,32021
floating-ui/floating-ui,31995
zeromicro/go-zero,31984
XTLS/Xray-core,31937
juanfont/headscale,31932
Chanzhaoyu/chatgpt-web,31919
qier222/YesPlayMusic,31897
remix-run/remix,31886
facebookresearch/fairseq,31881
open-mmlab/mmdetection,31870
yunjey/pytorch-tutorial,31852
gkd-kit/gkd,31850
Trinea/android-open-project,31820
kuchin/awesome-cto,31776
hasura/graphql-engine,31768
1Panel-dev/1Panel,31747
Textualize/textual,31744
linera-io/linera-protocol,31740
shardeum/shardeum,31724
google-ai-edge/mediapipe,31722
mli/paper-reading,31720
labstack/echo,31710
filebrowser/filebrowser,31670
ZuodaoTech/everyone-can-use-english,31647
backstage/backstage,31641
lutzroeder/netron,31624
derailed/k9s,31621
niklasvh/html2canvas,31613
ocrmypdf/OCRmyPDF,31557
amix/vimrc,31536
schollz/croc,31524
0xAX/linux-insides,31519
MonitorControl/MonitorControl,31508
ReactiveX/rxjs,31504
microsoft/MS-DOS,31504
cursor/cursor,31500
jingyaogong/minimind,31487
airbnb/lottie-web,31482
awesome-foss/awesome-sysadmin,31476
hyprwm/Hyprland,31475
GyulyVGC/sniffnet,31458
cockroachdb/cockroach,31414
dokku/dokku,31403
khoj-ai/khoj,31386
huggingface/diffusers,31369
fish-shell/fish-shell,31324
DioxusLabs/dioxus,31310
lovell/sharp,31290
umami-software/umami,31279
utmapp/UTM,31275
ianstormtaylor/slate,31261
openai/CLIP,31218
linexjlin/GPTs,31166
apache/kafka,31148
microsoft/Data-Science-For-Beginners,31147
k3s-io/k3s,31116
kubernetes/minikube,31062
mqyqingfeng/Blog,31058
codex-team/editor.js,31046
coolsnowwolf/lede,31030
mathiasbynens/dotfiles,31025
danny-avila/LibreChat,31006
medusajs/medusa,30975
drizzle-team/drizzle-orm,30906
blueimp/jQuery-File-Upload,30874
donnemartin/interactive-coding-challenges,30868
facebook/rocksdb,30856
firecracker-microvm/firecracker,30842
SortableJS/Sortable,30825
alibaba/p3c,30763
influxdata/influxdb,30757
symfony/symfony,30729
ajeetdsouza/zoxide,30723
parallax/jsPDF,30713
microsoft/calculator,30671
numpy/numpy,30663
ityouknow/spring-boot-examples,30613
wailsapp/wails,30595
AdguardTeam/AdGuardHome,30585
tqdm/tqdm,30579
ascoders/weekly,30561
LizardByte/Sunshine,30560
docsifyjs/docsify,30558
iawia002/lux,30552
webtorrent/webtorrent,30549
OWASP/CheatSheetSeries,30542
keycloak/keycloak,30522
fabricjs/fabric.js,30517
alpinejs/alpine,30512
restic/restic,30493
OAI/OpenAPI-Specification,30481
AMAI-GmbH/AI-Expert-Roadmap,30428
transloadit/uppy,30407
tinygrad/tinygrad,30391
layui/layui,30388
vbenjs/vue-vben-admin,30351
Binaryify/NeteaseCloudMusicApi,30317
nicolargo/glances,30314
Lightning-AI/pytorch-lightning,30307
s0md3v/roop,30303
nothings/stb,30295
BerriAI/litellm,30279
DevToys-app/DevToys,30268
surrealdb/surrealdb,30240
joshbuchea/HEAD,30239
Raphire/Win11Debloat,30230
sequelize/sequelize,30199
tatsu-lab/stanford_alpaca,30187
microsoft/WSL,30172
VincentGarreau/particles.js,30155
chinabugotech/hutool,30141
conductor-oss/conductor,30133
motiondivision/motion,30103
tokio-rs/tokio,30033
trailofbits/algo,30011
facebook/folly,29978
iperov/DeepFaceLive,29936
herrbischoff/awesome-macos-command-line,29911
mantinedev/mantine,29908
jobbole/awesome-python-cn,29905
cheeriojs/cheerio,29862
square/leakcanary,29814
PostHog/posthog,29797
foundation/foundation-sites,29781
frappe/erpnext,29745
cfenollosa/os-tutorial,29719
pmndrs/react-three-fiber,29692
apolloconfig/apollo,29686
vuejs/vue-cli,29680
JushBJJ/Mr.-Ranedeer-AI-Tutor,29662
XIU2/TrackersListCollection,29616
encode/django-rest-framework,29599
elsewhencode/project-guidelines,29549
aosabook/500lines,29547
react-boilerplate/react-boilerplate,29538
aquasecurity/trivy,29529
ageron/handson-ml2,29518
GoogleChrome/lighthouse,29517
refined-github/refined-github,29510
AllThingsSmitty/css-protips,29509
heyverse/hey,29504
ariya/phantomjs,29492
kovidgoyal/kitty,29476
stanfordnlp/dspy,29475
xuxueli/xxl-job,29459
hashicorp/consul,29455
continuedev/continue,29453
spf13/viper,29440
alibaba/canal,29428
valinet/ExplorerPatcher,29426
IanLunn/Hover,29405
datalab-to/marker,29392
standard/standard,29373
containers/podman,29367
realpython/python-guide,29311
google-research/tuning_playbook,29293
sampotts/plyr,29267
Byaidu/PDFMathTranslate,29243
dragonflydb/dragonfly,29212
sxyazi/yazi,29179
composer/composer,29178
lukehoban/es6features,29173
kodecocodes/swift-algorithm-club,29118
StevenBlack/hosts,29103
Pierian-Data/Complete-Python-3-Bootcamp,29082
DavidHDev/react-bits,29062
meta-llama/llama3,29057
openai/openai-python,29048
grafana/k6,29042
CSSEGISandData/COVID-19,29030
AvaloniaUI/Avalonia,29023
feder-cr/Jobs_Applier_AI_Agent_AIHawk,29012
wuyouzhuguli/SpringAll,28974
sunface/rust-course,28970
sst/opencode,28967
pmndrs/react-spring,28948
VSCodium/vscodium,28946
MichaelCade/90DaysOfDevOps,28945
NginxProxyManager/nginx-proxy-manager,28943
vercel/turborepo,28935
telegramdesktop/tdesktop,28905
postcss/postcss,28892
jumpserver/jumpserver,28892
openssl/openssl,28869
raysan5/raylib,28868
tastejs/todomvc,28857
wesbos/JavaScript30,28848
eriklindernoren/ML-From-Scratch,28843
statelyai/xstate,28832
glanceapp/glance,28821
alibaba/spring-cloud-alibaba,28815
microsoft/graphrag,28813
helm/helm,28708
pear-devs/pear-desktop,28688
immerjs/immer,28672
Ebazhanov/linkedin-skill-assessments-quizzes,28647
ZuzooVn/machine-learning-for-software-engineers,28627
kenwheeler/slick,28615
donnemartin/data-science-ipython-notebooks,28607
shengxinjing/programmer-job-blacklist,28463
eugeneyan/applied-ml,28442
vuejs/vuex,28422
dnSpy/dnSpy,28402
kingToolbox/WindTerm,28391
jamiebuilds/the-super-tiny-compiler,28385
viraptor/reverse-interview,28385
codepath/android_guides,28374
GitbookIO/gitbook,28365
python-telegram-bot/python-telegram-bot,28335
nginx/nginx,28333
casey/just,28293
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,28289
digitalocean/nginxconfig.io,28273
zhiwehu/Python-programming-exercises,28271
swagger-api/swagger-ui,28269
JaidedAI/EasyOCR,28232
caolan/async,28218
alibaba/druid,28204
